id,shopName,ownerName,phone,address,gpsLatitude,gpsLongitude,creditBalance,isActive,createdAt,updatedAt,externalId,routeName
100,BYPASS PALAMUTHIRSOLAI( VANNARPETTAI) AFNA PARK OPP,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
101,C.R STORE THACHAI GOKUL NAGAR,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
102,CHAI AND CHILL MURUGANKURICHI,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
103,CHANDRA BAKERY(JUNCTION BUS STAND),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
104,CHANDRASEKAR STORE(AYYAPA TEA STALL OPP. RASTA),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
105,CHOLA STORE BALABAGYA NAGAR,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
106,CITY SUPER MARKET(MELAPALAYAM),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
107,COLOURS COOL DRINKS(Thachai),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
108,COOL SPOT KRISHNAPURAM,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
109,COOLSPOT KRISHNAPURAM,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
110,CV STORE THIRUMAL NAGAR,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
111,D.A.M. BHARANI PALAMUTHIRSOLAI(PALAY ROUNDANA),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
112,D.D FRUITS SHOP(THACHAI),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
113,DANI STORE AR LINE(FIRE STATION OPP ROAD),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
114,"DEVI SNACKS AND SHOPPING(NGO-A COLONY, KARPAGAVINAYAGAR NAGAR)",,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
115,DEVI STORE MANGAMMAL SALAI KTC NAGAR,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
116,DHANAM MARKETTING,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
117,DHARANI STORE JUNCTION,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
118,DHARMA STORE KRISHNAPURAM,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
119,DHASH TEA STALL,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
120,EDAN FRUITS SANTHI NAGAR FATHIMA RESTAURANT NEAR,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
121,EDEN FRUITS SANTHI NAGAR SEVALAPERI ROAD NEAR HAIR STYLE,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
122,EJ STORE,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
123,ESHITHA SNACKS RESTAURANT,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
124,"ESWARI STORE, RAHMATH NAGAR",,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
125,EXPRESS BAKERY(JUNCTION),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
126,F.M SAI CORNER,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
127,FAMILY SUPER MARKET(MELAPALAYAM),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
128,FAREED MILK AND COOLDRINKS(MELAPALAYAM),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
